#name,Babylon English-Korean
#version,2.4.2
#wordcount,68893
#synwordcount,61071
#idxfilesize,1256836
#author,Babylon Ltd.
#email,linguistic-support@babylon.com
#description,This comprehensive English-Korean dictionary contains words, phrases, abbreviations & acronyms. It includes terms from a vast variety of subjects, such as Medicine, Electronics, Zoology, Business, Computers, Religion, etc., and features both the American and British forms of spelling.
#sametypesequence,h
#sourceLang,English
#targetLang,Korean
#,n. 번호임을 나타내는 기호
%,n. 퍼센트를 나타내는 기호
&,n. 
'cause,conj. ~때문에
@,n. 이메일 주소에서 
a,art. 영어 알파벳의 첫번째 문자; 부정관사
a bit,아주 조금, 소량
a bit of,아주 조금의, 소량의
a bit of skirt,여자, 젊은 여자
a bit thick,좀 지나치다
a bit wet,전혀 틀린
a cruel act,n. 잔인한 짓
a fair crack of the whip,공평한 기회, 공평한 취급, 공정한 기회, 공정한 취급
a fat lot of,조금도 ...않다
a formal address,n. 식사
a fortiori,한층 유력한 이유로
a going,움직여
a good deal,다량
a good deed,n. 선행
a great deal,아주 더
a great number of,수많은 ...
a kind of brocade,n. 수단
a kind of clam,n. 백합
a kind of clove tree,n. 정향나무
a kind of farm implement used to level ground,n. 미래
a kind of red algae,n. 도박
a kind of reed,n. 띠
a kind of wild reed,n. 달
a la,류의, 류 풍의, 류 풍으로, 류로
a legal adviser,n. 법률고문
a little bit,소량, 적은 양, 조금
a lot of,많이
a number of,얼마간의 ..., 다수의 ...
a piece of music,n. 악곡
a posteriori,귀납적으로
a priori,선천적으로, 선험적으로Pa priori || e026A;pra026A;'0254;02D0;ra026A;
a quarter of,1/4; 1/4의, 15분 전
a set phrase,n. 성귀
a small number of,adv. 소수의
a smoke,adv. 피워
a very small amount,n. 미량, 미소
a week about,adv. 일주일 걸러서
a week ago today,adv. 지난 주의 오늘
a week from now,adv. 내주의 오늘
a week yesterday,adv. 지난 주일의 어제
a westward advance,n. 서점
a whale at,이 매우 능숙한 사람
a whale for,n. 이 매우 능숙한 사람
a whale of,굉장한
a whale on,이 매우 능숙한 사람
a whole lot,매우
a whole lot of,adv. 썩 많은...
a whole tone,n. 온음
a year and a day,n. 만 일개년 기간
a year today,adv. 오늘부터 일년 후에
A.D.,n. 기원후( 예수 탄생이후의)
A.M.,오전, 정오이전; 밤12시와 정오 사이의 시간; 조간 신문의 애칭( 한밤중에 교부되는)A.M. (ante meridiem); adj. 오전의; 오전, 오전에, 오전의a.m. (ante meridiem); adv. 오전
AA,알콜중독자들을 위한 지지 단체를 조직하는 협회>AA (Alcoholics Anonymous)
aardwolf,n. 땅늑대
aback,adv. 돛이 역풍을 받고
abacus,n. 주판
Abaddon,n. 지옥
abaft,adv. 후반부쪽으로
abalone,n. 전복
abandon,n. 자유 분방, 방종, 충동적임; v. 버리다,떠나다;거절하다, 포기하다
abandon oneself,v. 비탄에 빠지다
abandon oneself to,탐닉하다
abandoned,adj. 버림받은; 자포자기한; 자유 분방한
abandoned person,n. 기인
abandonedly,adv. 자유분방하게, 거리낌없이
abandonee,n. 피유기자, 피위탁자
abandonment,n. 포기, 유기, 자포자기, 자유 분방
abase,v. 떨어뜨리다
abase oneself,v. 자기의 품격을 떨어뜨리다
abasement,n. 실추
abash,v. 무안하게 하다, 당황하게 하다
abashed,adj. 부끄러워
abashment,n. 무안하게 하는 것
abate,v. 감소시키다, 배제하다, 중지하다
abatement,n. 감소, 삭감, 완화; 배제, 무효화(법률)
abatis,n. 녹채
abattoir,n. 도살장
abb,n. 씨줄
abbacy,n. 대수도원장
abbess,n. 대수녀원장
abbey,n. 수도원, 수도원장이 관리하는 수도원; 수도원 공동체
abbot,n. 대수도원장
abbozzo,n. (이태리어)최종 예술작품의 기초가 되는 초안 또는 기초조각품
abbr.,n. 줄임말
abbreviate,v. 줄여 쓰다, 짧게하다, 약하다
abbreviated,adj. 단축된
abbreviation,n. 생략, 줄임 ; 약어
